,species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements,density
632,Myadestes unicolor,,37.9,576,,,,,,,,-4.536650512819421
633,Leptotila plumbeiceps,,170.0,101,,,,,,,,-5.663253430983096
634,Atlapetes albinucha,,33.84,199,,,,,,,,-4.00002707466951
635,Contopus sp.,,0.0,100,,,,,,,,
636,Chlorophanes spiza,,19.0,33,,,,,,,,-4.051455687804004
637,Saltator sp.,,0.0,6,,,,,,,,
638,Ornithion semiflavum,,6.6,94,,,,,,,,-5.539613990881865
639,Phalaropus lobatus,,36.68,143,,,,,,,,-5.431527728644189
640,Antrostomus ridgwayi,,0.0,497,,,,,,,,
641,Granatellus sallaei,,9.9,6,,,,,,,,-3.7936572356491984
642,Calidris bairdii,,40.97,62,,,,,,,,-5.2546564526570725
643,Abeillia abeillei,,2.7,88,,,,,,,,-5.811150762745992
644,Limnodromus griseus,,110.53,214,,,,,,,,-5.61724614593343
645,Calidris virgata,,0.0,33,,,,,,,,
646,Cathartes burrovianus,,935.0,9,,,,,,,,-5.58550638101072
647,Sterna hirundo/paradisaea,,0.0,11,,,,,,,,
648,Chlorophonia occipitalis,,25.8,178,,,,,,,,-4.740855187706964
649,Cyanolyca cucullata,,101.33,196,,,,,,,,-4.930369942271215
650,Phaethon aethereus/rubricauda,,0.0,1,,,,,,,,
651,Poecilotriccus sylvia,,7.1,50,,,,,,,,-5.055732694521779
652,Grallaria guatimalensis,,94.2,17,,,,,,,,-5.649058049126946
653,Aves sp.,,0.0,65,,,,,,,,
654,Spizella sp.,,0.0,7,,,,,,,,
655,Anatidae sp. (teal sp.),,0.0,14,,,,,,,,
656,Spatula cyanoptera,,0.0,175,,,,,,,,
657,Amazona farinosa,,625.99,208,,,,,,,,-5.7395942589421765
658,Anas acuta,,944.62,235,,,,,,,,-5.7209163525604385
659,Dromococcyx phasianellus,,84.5,119,,,,,,,,-5.606011287765558
660,Harpagus bidentatus,,215.25,34,,,,,,,,-5.365063063602682
661,Polioptila sp.,,0.0,31,,,,,,,,
662,Stilpnia larvata,,0.0,85,,,,,,,,
663,Parulidae sp.,,0.0,88,,,,,,,,
664,Leptodon cayanensis,,474.0,28,,,,,,,,-5.331774689423089
665,Pluvialis dominica,,151.47,65,,,,,,,,-5.370070111433028
666,Tyrannus sp. (yellow-bellied),,0.0,133,,,,,,,,
667,Ictinia plumbea,,249.9,18,,,,,,,,-5.2769790230373115
668,Seiurus aurocapilla,,18.8,278,,,,,,,,-3.97100396643844
669,Geotrygon montana,,133.86,86,,,,,,,,-5.373646396007606
670,Plegadis falcinellus/chihi,,0.0,3,,,,,,,,
671,Sporophila corvina,,10.62,117,,,,,,,,-4.620064614613019
672,Amazilia yucatanensis,,3.89,104,,,,,,,,-4.73639894760069
673,Tilmatura dupontii,,2.2,39,,,,,,,,-5.486031786057616
674,Progne subis,,53.79,63,,,,,,,,-5.1350706224088825
675,Celeus castaneus,,85.59,33,,,,,,,,-4.604872350389785
676,Glaucidium sp.,,0.0,18,,,,,,,,
677,Calidris melanotos,,79.73,89,,,,,,,,-5.405322293682374
678,Coccothraustes abeillei,,48.5,28,,,,,,,,-4.819820128724892
679,Xiphocolaptes promeropirhynchus,,93.04,250,,,,,,,,-5.607952311379697
680,Busarellus nigricollis,,766.14,4,,,,,,,,-5.107108104930502
681,Dendrocygna bicolor,,756.37,82,,,,,,,,-5.508962827045665
682,Vireo sp.,,0.0,75,,,,,,,,
683,Vireo philadelphicus,,11.5,33,,,,,,,,-3.61341481735911
684,Setophaga sp.,,0.0,17,,,,,,,,
685,Clibanornis rubiginosus,,0.0,161,,,,,,,,
686,Setophaga castanea,,0.0,2,,,,,,,,
687,Manacus candei,,19.82,50,,,,,,,,-4.75309579469064
688,Scolopacidae sp. (large shorebird sp.),,0.0,17,,,,,,,,
689,Coccyzus erythropthalmus,,50.9,11,,,,,,,,-4.678109316150365
690,Podicipedidae sp.,,0.0,8,,,,,,,,
691,Geothlypis formosa,,0.0,74,,,,,,,,
692,Icterus chrysater,,53.4,11,,,,,,,,-4.0376044541311025
693,Cairina moschata (Domestic type),,0.0,176,,,,,,,,
694,Numenius americanus,,583.86,67,,,,,,,,-5.83488951190953
695,Accipiter striatus/cooperii,,0.0,21,,,,,,,,
696,Penelopina nigra,,889.99,1,,,,,,,,-5.663737293851525
697,Vireo leucophrys,,12.3,107,,,,,,,,-3.458150532902696
698,Geotrygon/Leptotrygon/Zentrygon sp.,,0.0,6,,,,,,,,
699,Legatus leucophaius,,22.2,144,,,,,,,,-4.387019690957007
700,Sclerurus mexicanus,,25.1,59,,,,,,,,-4.879616383784693
701,Pharomachrus mocinno,,202.46,1,,,,,,,,-5.839442313357933
702,Phalaropus tricolor,,0.0,137,,,,,,,,
703,Dendrocolaptinae sp.,,0.0,27,,,,,,,,
704,Botaurus lentiginosus,,706.0,16,,,,,,,,-5.5267848928131755
705,Anatinae sp.,,0.0,46,,,,,,,,
706,Hylorchilus navai,,29.3,68,,,,,,,,
707,Catharus minimus,,31.58,3,,,,,,,,-4.2518604356877
708,Mionectes oleagineus,,11.17,125,,,,,,,,-3.6688294519921714
709,Setophaga fusca,,0.0,51,,,,,,,,
710,Larinae sp.,,0.0,33,,,,,,,,
711,Bartramia longicauda,,158.92,49,,,,,,,,-5.714561670494877
712,Psiloscops flammeolus,,0.0,77,,,,,,,,
713,Campylopterus excellens,,6.0,46,,,,,,,,-5.685819663918539
714,Empidonax hammondii/oberholseri,,0.0,34,,,,,,,,
715,Tyrannus tyrannus,,39.85,125,,,,,,,,-4.071697199301711
716,Corvus sp. (raven sp.),,0.0,10,,,,,,,,
717,Tyrannus savana,,31.9,65,,,,,,,,-5.389328533400746
718,Setophaga townsendi x occidentalis,,0.0,44,,,,,,,,
719,Calidris pusilla,,27.5,172,,,,,,,,-5.202307590099823
720,Streptopelia decaocto,,148.96,745,,,,,,,,-5.4418224874986
721,Aegolius acadicus,,100.69,35,,,,,,,,-5.236307909772716
722,Sula dactylatra/granti,,0.0,45,,,,,,,,
723,Spizaetus melanoleucus,,850.0,15,,,,,,,,-5.009782318980617
724,Geothlypis sp. (yellowthroat sp.),,0.0,1,,,,,,,,
725,Passerina sp.,,0.0,69,,,,,,,,
726,Stercorarius pomarinus,,692.47,112,,,,,,,,-5.5221325107096835
727,Psittacara strenuus,,0.0,60,,,,,,,,
728,Leptopogon amaurocephalus,,11.7,36,,,,,,,,-3.6892105246947864
729,Icteridae sp.,,0.0,36,,,,,,,,
730,Caprimulgidae sp.,,0.0,7,,,,,,,,
731,Furnariidae sp. (foliage-gleaner sp.),,0.0,1,,,,,,,,
732,Accipiter sp.,,0.0,50,,,,,,,,
733,Tyrannidae sp.,,0.0,23,,,,,,,,
734,Geothlypis philadelphia,,0.0,20,,,,,,,,
735,Sula sula,,1031.1,56,,,,,,,,-5.737898130131762
736,Euphonia sp.,,0.0,65,,,,,,,,
737,Leptotila sp.,,0.0,8,,,,,,,,
738,Campephilus sp./Dryocopus lineatus,,0.0,1,,,,,,,,
739,Corvidae sp. (jay sp.),,0.0,5,,,,,,,,
740,Calidris sp. (peep sp.),,0.0,140,,,,,,,,
741,Falco femoralis,,335.76,70,,,,,,,,-5.252523507814942
742,Charadriiformes sp.,,0.0,68,,,,,,,,
743,Haematopus palliatus,,601.45,255,,,,,,,,-5.7085121470732005
744,Empidonax virescens,,12.6,10,,,,,,,,-3.9103654205663863
745,Vireolanius pulchellus,,24.0,122,,,,,,,,-4.345268481052786
746,Ceratopipra mentalis,,0.0,77,,,,,,,,
747,Eucometis penicillata,,27.0,16,,,,,,,,-3.7930643287082435
748,Anas diazi,,0.0,6,,,,,,,,
749,Archilochus colubris/alexandri,,0.0,36,,,,,,,,
750,Calothorax lucifer/pulcher,,0.0,6,,,,,,,,
751,Sturnella neglecta/magna,,0.0,2,,,,,,,,
752,Selasphorus calliope,,0.0,17,,,,,,,,
753,Puffinus sp. (black-and-white shearwater sp.),,0.0,50,,,,,,,,
754,Ardenna grisea,,0.0,15,,,,,,,,
755,Spizaetus ornatus,,1197.4,78,,,,,,,,-5.267359233396356
756,Chaetura pelagica,,23.6,30,,,,,,,,-5.60427524487062
757,Pheucticus ludovicianus/melanocephalus,,0.0,36,,,,,,,,
758,Sclerurus guatemalensis,,34.7,6,,,,,,,,-4.473545948380034
759,Lophornis helenae,,2.6,59,,,,,,,,-5.570625798725016
760,Phaethornis longirostris/superciliosus,,0.0,1,,,,,,,,
761,Oceanitidae/Hydrobatidae sp.,,0.0,49,,,,,,,,
762,Sula dactylatra,,1732.08,44,,,,,,,,-5.381497318371256
763,Procellariidae sp. (shearwater sp.),,0.0,41,,,,,,,,
764,Icterus bullockii/galbula,,0.0,42,,,,,,,,
765,Platyrinchus cancrominus,,9.2,62,,,,,,,,-5.3281187089069935
766,Phalaropus lobatus/fulicarius,,0.0,35,,,,,,,,
767,Puffinus opisthomelas,,408.0,96,,,,,,,,-5.5437168797901215
768,Puffinus auricularis,,350.8,13,,,,,,,,-5.4539787124752666
769,Limnodromus griseus/scolopaceus,,0.0,61,,,,,,,,
770,Tyrannus vociferans/verticalis,,0.0,22,,,,,,,,
771,Strix fulvescens,,559.09,131,,,,,,,,-4.958565534910824
772,Stercorarius maccormicki,,0.0,12,,,,,,,,
773,Oceanodroma sp.,,0.0,1,,,,,,,,
774,Piranga olivacea,,28.2,13,,,,,,,,-3.990876529703277
775,Setophaga caerulescens,,0.0,4,,,,,,,,
776,Crypturellus boucardi,,435.62,125,,,,,,,,-5.549482617096199
777,Rallus limicola,,84.1,11,,,,,,,,-5.628994436393142
778,Ixobrychus exilis,,86.29,5,,,,,,,,-5.751696366643096
779,Hylomanes momotula,,29.3,46,,,,,,,,-4.959001572155929
780,Heliornis fulica,,132.0,3,,,,,,,,-5.384932508052471
781,Icterus bullockii x galbula,,0.0,22,,,,,,,,
782,Aythya collaris,,704.55,214,,,,,,,,-5.394607818906581
783,Toxostoma curvirostre/bendirei,,0.0,11,,,,,,,,
784,Myiodynastes maculatus,,43.2,27,,,,,,,,-4.657175131825778
785,Onychoprion fuscatus,,0.0,16,,,,,,,,
786,Aquila chrysaetos,,4247.97,5,,,,,,,,-5.8455400045476695
787,Sterna sp.,,0.0,1,,,,,,,,
788,Oceanodroma leucorhoa,,36.71,18,,,,,,,,-4.817481266522066
789,Anous stolidus,,177.77,19,,,,,,,,-5.578153839750448
790,Jabiru mycteria,,5996.29,6,,,,,,,,-5.918261606994398
791,Haemorhous sp.,,0.0,11,,,,,,,,
792,Aythya americana,,1075.69,182,,,,,,,,-5.474733826044943
793,Chaetura pelagica/vauxi,,0.0,35,,,,,,,,
794,Chaetura sp.,,0.0,18,,,,,,,,
795,Setophaga striata,,0.0,3,,,,,,,,
796,Contopus virens,,13.9,150,,,,,,,,-4.253968813290995
797,Setophaga palmarum,,0.0,22,,,,,,,,
798,Aix sponsa,,657.59,14,,,,,,,,-5.647875410540788
799,Lophodytes cucullatus,,613.77,17,,,,,,,,-5.725552794322584
800,Larus delawarensis,,516.31,46,,,,,,,,-5.515125968276565
801,Notharchus hyperrhynchus,,95.89,4,,,,,,,,-5.831202012964756
802,Eupsittula/Aratinga/Thectocercus/Psittacara sp.,,0.0,22,,,,,,,,
803,Sula granti,,1732.08,47,,,,,,,,-5.3657278316037
804,Empidonax alnorum/traillii,,0.0,75,,,,,,,,
805,Oceanodroma tethys,,22.6,39,,,,,,,,-5.508458445548335
806,Accipitridae sp. (hawk sp.),,0.0,84,,,,,,,,
807,Vireo olivaceus,,16.06,47,,,,,,,,-3.656727477075656
808,Calidris pugnax,,0.0,2,,,,,,,,
809,Thalasseus maximus/elegans,,0.0,60,,,,,,,,
810,Elanoides forficatus,,416.24,9,,,,,,,,-5.653499604199608
811,Molothrus aeneus/ater,,0.0,4,,,,,,,,
812,Limosa haemastica,,253.29,16,,,,,,,,-5.741148384602967
813,Dolichonyx oryzivorus,,31.46,5,,,,,,,,-4.1356429728449715
814,Athene cunicularia,,150.61,11,,,,,,,,-5.315542722437361
815,Puffinus nativitatis,,356.0,1,,,,,,,,-5.528857729939996
816,Anthus cervinus,,20.9,4,,,,,,,,-4.716161592652752
817,Onychoprion fuscatus/anaethetus,,0.0,8,,,,,,,,
818,Anser caerulescens,,0.0,4,,,,,,,,
819,Protonotaria citrea,,14.3,2,,,,,,,,-4.143299667578003
820,Nyctiphrynus mcleodii,,35.0,5,,,,,,,,-5.414667179654929
821,Antrostomus carolinensis,,0.0,12,,,,,,,,
822,Gallinula chloropus/galeata,,0.0,1,,,,,,,,
823,Falco mexicanus,,713.07,2,,,,,,,,-5.20256237565232
824,Habia sp.,,0.0,11,,,,,,,,
825,Mareca strepera,,0.0,157,,,,,,,,
826,Tringa melanoleuca/flavipes,,0.0,20,,,,,,,,
827,Xanthocephalus xanthocephalus,,62.68,10,,,,,,,,-4.285948087424613
828,Spatula discors/cyanoptera,,0.0,5,,,,,,,,
829,Petrochelidon fulva,,18.95,10,,,,,,,,-4.849485933745909
830,Setophaga discolor,,0.0,4,,,,,,,,
831,Oceanodroma leucorhoa/socorroensis/cheimomnestes,,0.0,22,,,,,,,,
832,Buteogallus solitarius,,0.0,1,,,,,,,,
833,Stercorarius pomarinus/parasiticus,,0.0,18,,,,,,,,
834,Calidris pusilla/mauri,,0.0,51,,,,,,,,
835,Sulidae sp.,,0.0,11,,,,,,,,
836,Stercorarius longicaudus,,287.9,16,,,,,,,,-5.815860449625309
837,Geothlypis tolmiei/philadelphia,,0.0,7,,,,,,,,
838,Stercorarius sp. (jaeger sp.),,0.0,24,,,,,,,,
839,Cathartidae sp.,,0.0,10,,,,,,,,
840,Petrochelidon pyrrhonota/fulva,,0.0,8,,,,,,,,
841,Myiopsitta monachus,,120.0,148,,,,,,,,-5.715274163186603
842,Cypseloides sp.,,0.0,8,,,,,,,,
843,Calidris alpina,,51.89,9,,,,,,,,-5.396553740555177
844,Lipaugus unirufus,,82.1,42,,,,,,,,-4.71995975444691
845,Pterodroma externa,,428.0,1,,,,,,,,-5.6198078944552305
846,Psarocolius sp.,,0.0,2,,,,,,,,
847,Parkesia motacilla/noveboracensis,,0.0,28,,,,,,,,
848,Turdidae sp.,,0.0,2,,,,,,,,
849,Phalacrocorax auritus,,1806.49,1,,,,,,,,-5.7457918365072835
850,Campylopterus rufus,,7.1,26,,,,,,,,-5.096257517054427
851,Zonotrichia leucophrys,,28.0,1,,,,,,,,-3.9814038658411706
852,Streptoprocne sp.,,0.0,1,,,,,,,,
853,Sarcoramphus papa,,3400.0,49,,,,,,,,-5.846388841706794
854,Stercorarius parasiticus/longicaudus,,0.0,10,,,,,,,,
855,Nycticorax nycticorax/Nyctanassa violacea,,0.0,18,,,,,,,,
856,Schiffornis veraepacis,,0.0,12,,,,,,,,
857,Anatidae sp. (dabbling duck sp.),,0.0,13,,,,,,,,
858,Lophostrix cristata,,538.66,8,,,,,,,,-5.052000919552884
859,Ardenna grisea/tenuirostris,,0.0,3,,,,,,,,
860,Florisuga mellivora,,7.4,7,,,,,,,,-5.006722688340252
861,Pluvialis fulva,,134.9,1,,,,,,,,-5.366637208832982
862,Accipiter bicolor,,287.54,8,,,,,,,,-5.2936516500529205
863,Limnothlypis swainsonii,,18.9,2,,,,,,,,-4.156028160567068
864,Pionus sp.,,0.0,1,,,,,,,,
865,Antrostomus vociferus/arizonae,,0.0,1,,,,,,,,
866,Pluvialis sp.,,0.0,10,,,,,,,,
867,Larus californicus,,683.39,11,,,,,,,,-5.504348390247158
868,Aythya sp.,,0.0,4,,,,,,,,
869,Spatula discors x cyanoptera,,0.0,4,,,,,,,,
870,Leiothlypis luciae,,0.0,11,,,,,,,,
871,Setophaga townsendi/occidentalis,,0.0,13,,,,,,,,
872,Apodidae sp. (large swift sp.),,0.0,2,,,,,,,,
873,Caprimulgus sp.,,0.0,1,,,,,,,,
874,Megascops sp.,,0.0,1,,,,,,,,
875,Apodidae sp. (small swift sp.),,0.0,1,,,,,,,,
876,Calidris alpina x fuscicollis,,0.0,1,,,,,,,,
877,Thryophilus sinaloa,,0.0,12,,,,,,,,
878,Geranoaetus/Buteo sp.,,0.0,1,,,,,,,,
879,Sula sp.,,0.0,11,,,,,,,,
880,Plegadis falcinellus,,626.61,3,,,,,,,,-5.36344145529088
881,Eupherusa poliocerca,,4.85,4,,,,,,,,-4.475095851863058
882,Phalaropus sp.,,0.0,34,,,,,,,,
883,Icterus spurius/cucullatus,,0.0,10,,,,,,,,
884,Setophaga chrysoparia,,0.0,13,,,,,,,,
885,Passerina amoena/cyanea,,0.0,5,,,,,,,,
886,Oceanodroma leucorhoa/socorroensis (dark-rumped),,0.0,19,,,,,,,,
887,Gavia immer,,4956.81,2,,,,,,,,-5.920182698826133
888,Thalasseus sp.,,0.0,1,,,,,,,,
889,Pseudobulweria rostrata,,409.0,14,,,,,,,,-5.547069682556005
890,Ardea/Egretta/Bubulcus sp.,,0.0,27,,,,,,,,
891,Buteo/eagle sp.,,0.0,1,,,,,,,,
892,Myiodynastes maculatus/luteiventris,,0.0,1,,,,,,,,
893,Onychoprion anaethetus,,0.0,13,,,,,,,,
894,Selasphorus rufus/sasin,,0.0,8,,,,,,,,
895,Columba livia/Patagioenas fasciata,,0.0,1,,,,,,,,
896,Phaethon sp.,,0.0,1,,,,,,,,
897,Myioborus sp.,,0.0,2,,,,,,,,
898,Sphyrapicus thyroideus,,47.6,5,,,,,,,,-4.384530713438785
899,Sterna paradisaea,,110.0,14,,,,,,,,-5.786100720654756
900,Laridae sp.,,0.0,18,,,,,,,,
901,Anser anser (Domestic type),,0.0,7,,,,,,,,
902,Cantorchilus modestus,,0.0,49,,,,,,,,
903,Henicorhina sp.,,0.0,9,,,,,,,,
904,Spinus sp.,,0.0,11,,,,,,,,
905,Catharus fuscescens,,31.9,4,,,,,,,,-4.144394105627678
906,Asio otus,,296.57,4,,,,,,,,-5.230644816015628
907,Falco sp. (small falcon sp.),,0.0,7,,,,,,,,
908,Falco sp. (large falcon sp.),,0.0,4,,,,,,,,
909,Columbina sp.,,0.0,15,,,,,,,,
910,Spizaetus sp.,,0.0,2,,,,,,,,
911,Falco sp.,,0.0,10,,,,,,,,
912,Spinus sp. (goldfinch sp.),,0.0,3,,,,,,,,
913,Lonchura malacca,,12.6,3,,,,,,,,-5.175273403422893
914,Psittacara sp.,,0.0,9,,,,,,,,
915,Anas platyrhynchos (Domestic type),,0.0,3,,,,,,,,
916,Dendrocolaptes sp.,,0.0,1,,,,,,,,
917,Momotidae sp.,,0.0,8,,,,,,,,
918,Coccyzus sp.,,0.0,8,,,,,,,,
919,Patagioenas sp.,,0.0,1,,,,,,,,
920,Haemorhous cassinii,,0.0,5,,,,,,,,
921,Phaethornis sp.,,0.0,9,,,,,,,,
922,Aythya marila/affinis,,0.0,3,,,,,,,,
923,Sporophila sp.,,0.0,6,,,,,,,,
924,Tityra sp.,,0.0,3,,,,,,,,
925,Amaurospiza concolor,,13.1,4,,,,,,,,-4.146720549562049
926,Mergus serrator,,1015.17,1,,,,,,,,-5.809535949189404
927,Heliomaster longirostris/constantii,,0.0,2,,,,,,,,
928,Antrostomus sp.,,0.0,1,,,,,,,,
929,Buteogallus anthracinus/urubitinga,,0.0,8,,,,,,,,
930,Petrochelidon sp.,,0.0,2,,,,,,,,
931,Buteogallus sp.,,0.0,3,,,,,,,,
932,Psittacara holochlorus/strenuus,,0.0,5,,,,,,,,
933,Lepidocolaptes sp.,,0.0,6,,,,,,,,
934,Ictinia mississippiensis/plumbea,,0.0,2,,,,,,,,
935,Archilochus alexandri,,3.39,1,,,,,,,,-5.135079869795334
936,Regulus sp.,,0.0,2,,,,,,,,
937,Anser sp. (Domestic type),,0.0,1,,,,,,,,
938,Rallidae sp. (rail/crake sp.),,0.0,4,,,,,,,,
939,Aythya valisineria,,1202.0,3,,,,,,,,-5.588903967376995
940,Thraupis sp.,,0.0,5,,,,,,,,
941,Oceanitidae/Hydrobatidae sp. (dark-rumped),,0.0,2,,,,,,,,
942,Oceanitidae/Hydrobatidae sp. (white-rumped),,0.0,2,,,,,,,,
943,Toxostoma sp.,,0.0,2,,,,,,,,
944,Aquila chrysaetos/Haliaeetus leucocephalus,,0.0,1,,,,,,,,
945,Columbina passerina/talpacoti,,0.0,1,,,,,,,,
