species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements
Empidonax oberholseri,5.75,10.4,1198,wǐt,wǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,12,11,12
Cyrtonyx montezumae,8.5,185.38,18,mtǒ,mtǒ,"Grouse, Quail, and Allies",0,1,1,4
Empidonax occidentalis,5.75,11.6,967,wǐt,wǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,12,11,12
Sayornis saya,7.5,20.9,302,cùchguêr,xín-cùchguêr,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,4,1,12
Melanotis caerulescens,10.0,61.57,4343,mæ̀cw-guiùu,mæ̀cw-guiùu,"Catbirds, Mockingbirds, and Thrashers",0,1,1,3
Cairina moschata,30.0,2415.78,257,bǎd,bǎd,Waterfowl,0,7,2,10
Cardellina pusilla,4.3,6.96,7578,yěets,yěets,Wood-Warblers,0,3,1,15
Trogon elegans,11.75,70.89,284,chòo-dzê,chòo-dzê,Trogons and Quetzals,0,1,1,2
Leptotila verreauxi,11.0,146.88,3268,guiès-ró-yù,guiès-ró-yù,Pigeons and Doves,0,1,1,7
Columbina passerina,6.5,35.36,2100,côc,côc,Pigeons and Doves,0,2,2,7
Ciccaba virgata,13.2,283.97,338,dǎm̲,dǎm̲-yêt,Owls,0,3,2,6
Dryocopus lineatus,13.3,183.19,1103,càrpìntêr,càrpìntêr-mâch,Woodpeckers,0,7,2,8
Dryobates villosus,8.649999999999999,62.65,1156,càrpìntêr,càrpìntêr-ló-guì,Woodpeckers,0,7,1,8
Contopus pertinax,8.0,27.2,3019,pédrǐt,pédrǐt,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",0,1,1,12
Henicorhina leucophrys,4.25,16.19,1592,nguzhǐn,nguzhǐn-guì,Wrens,0,6,2,6
Accipiter striatus,12.0,130.59,862,msì,msì-lâg,"Vultures, Hawks, and Allies",0,7,3,8
Amazilia wagneri,3.9,5.24,0,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14
Lampornis clemenciae,5.25,7.55,886,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14
Pipilo maculatus,7.25,39.28,1523,mguîn̲-wǐx,mguîn̲-wǐx,New World Sparrows,0,1,1,10
Vireo cassinii,5.0,14.7,916,mtsùu,mtsùu,Vireos,0,8,8,4
Vermivora ruficapilla,4.699999999999999,8.09,0,mguîn̲-tsíríic,mguîn̲-tsíríic,Wood-Warblers,0,1,1,15
Pheucticus melanocephalus,7.75,47.13,2627,mguěy,mguěy-guièe-dán,"Cardinals, Grosbeaks, and Allies",0,4,1,2
Basileuterus rufifrons,5.25,10.4,4865,mguîn̲-dǎm̲,mguîn̲-dǎm̲,Wood-Warblers,0,1,1,15
Eugenes fulgens,4.525,8.0,1642,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14
Cathartes aura,29.0,1518.24,13517,pěch,pěch,"Vultures, Hawks, and Allies",1,2,1,8
Cinclus mexicanus,7.5,56.68,16,mguîn̲-nìs,mguîn̲-nìs,Dippers,0,1,1,1
Asio stygius,16.55,565.0,10,dǎm̲,dǎm̲-yêt,Owls,0,3,2,6
Lamprolaima rhami,4.75,7.8,418,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14
Oporornis tolmiei,5.1,10.4,0,wǐt,wǐt,Wood-Warblers,0,12,11,15
Catharus aurantiirostris,5.5,29.8,1237,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,0,4,4,5
Oxyura jamaicensis,15.0,608.15,690,bǎd,bǎd-guìx,Waterfowl,0,7,5,10
Setophaga townsendi,4.75,8.84,3787,yěets,yěets-pînt,Wood-Warblers,0,3,1,15
Zenaida asiatica,11.5,153.0,11054,còolíchè,còolíchè,Pigeons and Doves,0,1,1,7
Hirundo pyrrhonota,5.1,21.6,0,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0,7,4,4
Turdus migratorius,10.0,78.5,1542,miân,miân,Thrushes,0,1,1,5
Ptiliogonys cinereus,7.5,33.6,5476,péedrùuch,péedrùuch,Silky-flycatchers,0,1,1,1
Amazilia viridifrons,4.25,6.3,513,dzǐn̲g,dzǐn̲g,Hummingbirds,0,14,10,14
Dendrortyx macroura,13.5,430.99,663,mtsòo,mtsòo,"Grouse, Quail, and Allies",0,1,1,4
Carduelis psaltria,4.5,8.77,0,mdzíl-dò,mdzíl-dò,"Finches, Euphonias, and Allies",0,1,1,3
Meleagris gallopavo,38.5,5791.37,0,mèr,mèr,"Grouse, Quail, and Allies",0,1,1,4
Vireo huttoni,4.875,11.3,2103,mtsùu,mtsùu,Vireos,0,8,8,4
Dendrocygna autumnalis,19.5,755.3,1153,pìxîx,pìxîx,Waterfowl,0,1,1,10
Catherpes mexicanus,5.0,11.97,2327,nguzhǐn,nguzhǐn-zhàn̲-quiè,Wrens,0,6,1,6
Stelgidopteryx serripennis,5.5,15.69,5161,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0,7,4,4
Eremophila alpestris,7.5,33.33,80,mguîn̲-ló-liù,mguîn̲-ló-liù,Larks,0,1,1,1
Buteo brachyurus,16.0,496.01,1314,msì,msì,"Vultures, Hawks, and Allies",0,7,3,8
Bombycilla cedrorum,7.0,31.58,533,mguîn̲-bæ̀d,mguîn̲-bæ̀d,Waxwings,0,1,1,1
Dendroica nigrescens,5.1,8.7,0,wǐt,wǐt,Wood-Warblers,0,12,11,15
Tachycineta thalassina,5.125,14.14,2454,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0,7,4,4
Patagioenas fasciata,14.5,366.3,927,pàlôm,pàlôm-dán,Pigeons and Doves,0,2,1,7
Myioborus miniatus,6.0,9.0,3440,mguîn̲-mâ-zhiàn,mguîn̲-mâ-zhiàn,Wood-Warblers,0,2,2,15
Glaucidium gnoma,7.25,61.25,413,mquí,mquí,Owls,0,3,3,6
Anser cygnoides,34.5,3511.94,0,gâns,gâns,Waterfowl,0,2,2,10
Bubulcus ibis,20.0,365.95,4374,gàrs,gàrs,"Herons, Ibis, and Allies",0,1,1,1
Mimus polyglottos,10.0,48.5,1678,mquièts,mquièts,"Catbirds, Mockingbirds, and Thrashers",0,2,2,3
Atthis heloisa,2.75,2.2,800,dzǐn̲g,dzǐn̲g-gué,Hummingbirds,0,14,1,14
Ergaticus ruber,5.5,8.1,0,x-quǐit-ngùbìdz,x-quǐit-ngùbìdz,Wood-Warblers,0,1,1,15
Vermivora celata,5.05,9.19,0,wǐt,wǐt,Wood-Warblers,0,12,11,15
Hylocharis leucotis,3.4,3.39,2753,dzǐn̲g,dzǐn̲g-dán-yǎ-guì,Hummingbirds,0,14,1,14
Vireo gilvus,5.25,12.67,3267,mtsùu,mtsùu,Vireos,0,8,8,4
Caracara plancus,49.5,1078.62,0,mguîn̲-rlæ̌-dzìt,mguîn̲-rlæ̌-dzìt,Falcons and Caracaras,0,1,1,3
Trogon citreolus,NA,79.0,2030,NA,NA,NA,NA,NA,NA,NA
Atlapetes pileatus,NA,24.0,1300,NA,NA,NA,NA,NA,NA,NA
Diglossa baritula,NA,9.2,1041,NA,NA,NA,NA,NA,NA,NA
Leiothlypis ruficapilla,NA,0.0,5300,NA,NA,NA,NA,NA,NA,NA
Sterna forsteri,NA,149.0,165,NA,NA,NA,NA,NA,NA,NA
Numenius phaeopus,NA,364.57,448,NA,NA,NA,NA,NA,NA,NA
Icterus gularis,NA,55.16,2400,NA,NA,NA,NA,NA,NA,NA
Chaetura vauxi,NA,17.1,691,NA,NA,NA,NA,NA,NA,NA
Eudocimus albus,NA,889.66,1254,NA,NA,NA,NA,NA,NA,NA
Turdus rufopalliatus,NA,75.02,4272,NA,NA,NA,NA,NA,NA,NA
Caracara cheriway,NA,1078.62,4387,NA,NA,NA,NA,NA,NA,NA
Coereba flaveola,NA,10.01,386,NA,NA,NA,NA,NA,NA,NA
Setophaga coronata,NA,0.0,7097,NA,NA,NA,NA,NA,NA,NA
Myiarchus sp.,NA,0.0,557,NA,NA,NA,NA,NA,NA,NA
Leiothlypis virginiae,NA,0.0,1695,NA,NA,NA,NA,NA,NA,NA
Empidonax hammondii,NA,10.44,680,NA,NA,NA,NA,NA,NA,NA
Setophaga petechia,NA,0.0,2629,NA,NA,NA,NA,NA,NA,NA
Rupornis magnirostris,NA,0.0,1828,NA,NA,NA,NA,NA,NA,NA
Tityra semifasciata,NA,79.3,1068,NA,NA,NA,NA,NA,NA,NA
Megarynchus pitangua,NA,69.91,1561,NA,NA,NA,NA,NA,NA,NA
Geothlypis trichas,NA,9.54,730,NA,NA,NA,NA,NA,NA,NA
Cyanerpes cyaneus,NA,14.0,1165,NA,NA,NA,NA,NA,NA,NA
Crotophaga sulcirostris,NA,82.04,3217,NA,NA,NA,NA,NA,NA,NA
Chondestes grammacus,NA,29.0,1740,NA,NA,NA,NA,NA,NA,NA
Ortalis vetula,NA,562.6,389,NA,NA,NA,NA,NA,NA,NA
Herpetotheres cachinnans,NA,623.58,420,NA,NA,NA,NA,NA,NA,NA
Melozone fusca,NA,0.0,25,NA,NA,NA,NA,NA,NA,NA
Melanerpes hypopolius,NA,52.4,2366,NA,NA,NA,NA,NA,NA,NA
Morococcyx erythropygus,NA,64.53,1029,NA,NA,NA,NA,NA,NA,NA
Icterus galbula,NA,32.83,1242,NA,NA,NA,NA,NA,NA,NA
Pitangus sulphuratus,NA,62.85,10326,NA,NA,NA,NA,NA,NA,NA
Chlorospingus flavopectus,NA,0.0,1392,NA,NA,NA,NA,NA,NA,NA
Calidris minutilla,NA,22.88,1308,NA,NA,NA,NA,NA,NA,NA
Recurvirostra americana,NA,304.48,313,NA,NA,NA,NA,NA,NA,NA
Saltator atriceps,NA,83.79,1149,NA,NA,NA,NA,NA,NA,NA
Cyanolyca nanus,NA,0.0,707,NA,NA,NA,NA,NA,NA,NA
Anthus rubescens,NA,20.68,454,NA,NA,NA,NA,NA,NA,NA
Tachybaptus dominicus,NA,132.59,2240,NA,NA,NA,NA,NA,NA,NA
Peucedramus taeniatus,NA,11.0,1372,NA,NA,NA,NA,NA,NA,NA
Saltator coerulescens,NA,54.9,676,NA,NA,NA,NA,NA,NA,NA
Amazona albifrons,NA,206.0,1519,NA,NA,NA,NA,NA,NA,NA
Tringa flavipes,NA,77.5,459,NA,NA,NA,NA,NA,NA,NA
Cochlearius cochlearius,NA,643.21,415,NA,NA,NA,NA,NA,NA,NA
Cassiculus melanicterus,NA,0.0,2462,NA,NA,NA,NA,NA,NA,NA
Fulica americana,NA,636.74,1992,NA,NA,NA,NA,NA,NA,NA
Setophaga occidentalis,NA,0.0,1727,NA,NA,NA,NA,NA,NA,NA
Piranga ludoviciana,NA,28.1,6139,NA,NA,NA,NA,NA,NA,NA
Ammodramus savannarum,NA,17.61,325,NA,NA,NA,NA,NA,NA,NA
Actitis macularius,NA,40.4,2628,NA,NA,NA,NA,NA,NA,NA
Pachyramphus aglaiae,NA,29.69,1748,NA,NA,NA,NA,NA,NA,NA
Egretta caerulea,NA,338.61,1604,NA,NA,NA,NA,NA,NA,NA
Spizella pallida,NA,11.2,608,NA,NA,NA,NA,NA,NA,NA
Tiaris olivaceus,NA,8.5,484,NA,NA,NA,NA,NA,NA,NA
Pyrocephalus rubinus,NA,14.4,8761,NA,NA,NA,NA,NA,NA,NA
Leiothlypis celata,NA,0.0,3241,NA,NA,NA,NA,NA,NA,NA
Sula leucogaster,NA,1288.82,517,NA,NA,NA,NA,NA,NA,NA
Turdus assimilis,NA,70.2,1176,NA,NA,NA,NA,NA,NA,NA
Megaceryle alcyon,NA,148.0,860,NA,NA,NA,NA,NA,NA,NA
Leucophaeus atricilla,NA,0.0,1493,NA,NA,NA,NA,NA,NA,NA
Thalasseus maximus,NA,0.0,1104,NA,NA,NA,NA,NA,NA,NA
Regulus calendula,NA,6.19,1890,NA,NA,NA,NA,NA,NA,NA
Phaethornis longirostris,NA,6.0,166,NA,NA,NA,NA,NA,NA,NA
Icterus cucullatus,NA,24.3,842,NA,NA,NA,NA,NA,NA,NA
Vireo nelsoni,NA,9.4,582,NA,NA,NA,NA,NA,NA,NA
Vireo brevipennis,NA,11.8,949,NA,NA,NA,NA,NA,NA,NA
Empidonax minimus,NA,10.0,1838,NA,NA,NA,NA,NA,NA,NA
Thryophilus pleurostictus,NA,0.0,1725,NA,NA,NA,NA,NA,NA,NA
Chordeiles acutipennis,NA,48.42,570,NA,NA,NA,NA,NA,NA,NA
Icterus mesomelas,NA,39.9,107,NA,NA,NA,NA,NA,NA,NA
Eupsittula nana,NA,0.0,703,NA,NA,NA,NA,NA,NA,NA
Chondrohierax uncinatus,NA,286.07,219,NA,NA,NA,NA,NA,NA,NA
Glaucidium brasilianum,NA,75.1,1900,NA,NA,NA,NA,NA,NA,NA
Aphelocoma woodhouseii,NA,0.0,1840,NA,NA,NA,NA,NA,NA,NA
Campylorhynchus rufinucha,NA,31.0,2601,NA,NA,NA,NA,NA,NA,NA
Passerina cyanea,NA,14.69,1547,NA,NA,NA,NA,NA,NA,NA
Vireolanius melitophrys,NA,34.7,813,NA,NA,NA,NA,NA,NA,NA
Melanerpes chrysogenys,NA,67.72,2070,NA,NA,NA,NA,NA,NA,NA
Passerina leclancherii,NA,14.0,2207,NA,NA,NA,NA,NA,NA,NA
Tringa melanoleuca,NA,161.74,634,NA,NA,NA,NA,NA,NA,NA
Icterus spurius,NA,19.44,2405,NA,NA,NA,NA,NA,NA,NA
Passerina ciris,NA,15.54,932,NA,NA,NA,NA,NA,NA,NA
Butorides virescens,NA,201.5,1672,NA,NA,NA,NA,NA,NA,NA
Dendrocolaptes sanctithomae,NA,66.9,57,NA,NA,NA,NA,NA,NA,NA
Myiarchus tyrannulus,NA,35.45,1371,NA,NA,NA,NA,NA,NA,NA
Calocitta formosa,NA,210.0,3702,NA,NA,NA,NA,NA,NA,NA
Columbina talpacoti,NA,46.04,1205,NA,NA,NA,NA,NA,NA,NA
Campylorhynchus megalopterus,NA,33.1,1445,NA,NA,NA,NA,NA,NA,NA
Passerina caerulea,NA,27.39,3474,NA,NA,NA,NA,NA,NA,NA
Peucaea mystacalis,NA,0.0,2186,NA,NA,NA,NA,NA,NA,NA
Tyrannus melancholicus,NA,37.4,6598,NA,NA,NA,NA,NA,NA,NA
Phalacrocorax brasilianus,NA,1239.29,2731,NA,NA,NA,NA,NA,NA,NA
Buteogallus anthracinus,NA,975.09,649,NA,NA,NA,NA,NA,NA,NA
Egretta rufescens,NA,614.0,984,NA,NA,NA,NA,NA,NA,NA
Setophaga nigrescens,NA,0.0,1454,NA,NA,NA,NA,NA,NA,NA
Certhia americana,NA,8.1,1123,NA,NA,NA,NA,NA,NA,NA
Thalasseus sandvicensis,NA,0.0,322,NA,NA,NA,NA,NA,NA,NA
Empidonax sp.,NA,0.0,1142,NA,NA,NA,NA,NA,NA,NA
Loxia curvirostra,NA,38.29,587,NA,NA,NA,NA,NA,NA,NA
Podilymbus podiceps,NA,411.93,539,NA,NA,NA,NA,NA,NA,NA
Basileuterus belli,NA,10.7,1612,NA,NA,NA,NA,NA,NA,NA
Myiozetetes similis,NA,28.0,6005,NA,NA,NA,NA,NA,NA,NA
Calidris canutus,NA,141.87,100,NA,NA,NA,NA,NA,NA,NA
Calidris mauri,NA,27.82,372,NA,NA,NA,NA,NA,NA,NA
Spatula clypeata,NA,0.0,725,NA,NA,NA,NA,NA,NA,NA
Arremonops rufivirgatus,NA,22.43,872,NA,NA,NA,NA,NA,NA,NA
Spinus psaltria,NA,0.0,7126,NA,NA,NA,NA,NA,NA,NA
Toxostoma ocellatum,NA,84.29,843,NA,NA,NA,NA,NA,NA,NA
Aimophila notosticta,NA,27.1,965,NA,NA,NA,NA,NA,NA,NA
Chloroceryle aenea,NA,13.75,16,NA,NA,NA,NA,NA,NA,NA
Dryobates scalaris,NA,0.0,2324,NA,NA,NA,NA,NA,NA,NA
Catharus sp.,NA,0.0,62,NA,NA,NA,NA,NA,NA,NA
Polioptila albiloris,NA,6.26,2164,NA,NA,NA,NA,NA,NA,NA
Melanerpes aurifrons,NA,80.77,2712,NA,NA,NA,NA,NA,NA,NA
Tringa semipalmata,NA,0.0,671,NA,NA,NA,NA,NA,NA,NA
Icteria virens,NA,24.89,602,NA,NA,NA,NA,NA,NA,NA
Tyrannus forficatus,NA,39.3,1258,NA,NA,NA,NA,NA,NA,NA
Icterus pustulatus,NA,36.78,3009,NA,NA,NA,NA,NA,NA,NA
Streptoprocne zonaris,NA,86.79,1011,NA,NA,NA,NA,NA,NA,NA
Pelecanus occidentalis,NA,3427.84,1740,NA,NA,NA,NA,NA,NA,NA
Progne chalybea,NA,42.9,1799,NA,NA,NA,NA,NA,NA,NA
Fregata magnificens,NA,1490.52,2443,NA,NA,NA,NA,NA,NA,NA
Heliomaster constantii,NA,7.3,597,NA,NA,NA,NA,NA,NA,NA
Eupsittula canicularis,NA,0.0,2475,NA,NA,NA,NA,NA,NA,NA
Piranga flava,NA,37.7,1578,NA,NA,NA,NA,NA,NA,NA
Contopus sordidulus,NA,13.1,1422,NA,NA,NA,NA,NA,NA,NA
Volatinia jacarina,NA,9.94,971,NA,NA,NA,NA,NA,NA,NA
Anabacerthia variegaticeps,NA,27.8,194,NA,NA,NA,NA,NA,NA,NA
