species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements
Oriturus superciliosus,NA,41.4,3,NA,NA,NA,NA,NA,NA,NA
Buteo platypterus,NA,453.65,604,NA,NA,NA,NA,NA,NA,NA
Bolborhynchus lineola,NA,56.2,61,NA,NA,NA,NA,NA,NA,NA
Cotinga amabilis,NA,71.49,8,NA,NA,NA,NA,NA,NA,NA
Psarocolius wagleri,NA,155.5,113,NA,NA,NA,NA,NA,NA,NA
Asio clamator,NA,0.0,18,NA,NA,NA,NA,NA,NA,NA
Vireo pallens,NA,11.0,74,NA,NA,NA,NA,NA,NA,NA
Turdus sp.,NA,0.0,76,NA,NA,NA,NA,NA,NA,NA
Micrastur ruficollis,NA,177.64,129,NA,NA,NA,NA,NA,NA,NA
Coccyzus americanus,NA,64.0,57,NA,NA,NA,NA,NA,NA,NA
Ictinia mississippiensis,NA,276.03,59,NA,NA,NA,NA,NA,NA,NA
Tinamidae sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Myadestes unicolor,NA,37.9,576,NA,NA,NA,NA,NA,NA,NA
Leptotila plumbeiceps,NA,170.0,101,NA,NA,NA,NA,NA,NA,NA
Atlapetes albinucha,NA,33.84,199,NA,NA,NA,NA,NA,NA,NA
Contopus sp.,NA,0.0,100,NA,NA,NA,NA,NA,NA,NA
Chlorophanes spiza,NA,19.0,33,NA,NA,NA,NA,NA,NA,NA
Saltator sp.,NA,0.0,6,NA,NA,NA,NA,NA,NA,NA
Ornithion semiflavum,NA,6.6,94,NA,NA,NA,NA,NA,NA,NA
Phalaropus lobatus,NA,36.68,143,NA,NA,NA,NA,NA,NA,NA
Antrostomus ridgwayi,NA,0.0,497,NA,NA,NA,NA,NA,NA,NA
Granatellus sallaei,NA,9.9,6,NA,NA,NA,NA,NA,NA,NA
Calidris bairdii,NA,40.97,62,NA,NA,NA,NA,NA,NA,NA
Abeillia abeillei,NA,2.7,88,NA,NA,NA,NA,NA,NA,NA
Limnodromus griseus,NA,110.53,214,NA,NA,NA,NA,NA,NA,NA
Calidris virgata,NA,0.0,33,NA,NA,NA,NA,NA,NA,NA
Cathartes burrovianus,NA,935.0,9,NA,NA,NA,NA,NA,NA,NA
Sterna hirundo/paradisaea,NA,0.0,11,NA,NA,NA,NA,NA,NA,NA
Chlorophonia occipitalis,NA,25.8,178,NA,NA,NA,NA,NA,NA,NA
Cyanolyca cucullata,NA,101.33,196,NA,NA,NA,NA,NA,NA,NA
Phaethon aethereus/rubricauda,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Poecilotriccus sylvia,NA,7.1,50,NA,NA,NA,NA,NA,NA,NA
Grallaria guatimalensis,NA,94.2,17,NA,NA,NA,NA,NA,NA,NA
Aves sp.,NA,0.0,65,NA,NA,NA,NA,NA,NA,NA
Spizella sp.,NA,0.0,7,NA,NA,NA,NA,NA,NA,NA
Anatidae sp. (teal sp.),NA,0.0,14,NA,NA,NA,NA,NA,NA,NA
Spatula cyanoptera,NA,0.0,175,NA,NA,NA,NA,NA,NA,NA
Amazona farinosa,NA,625.99,208,NA,NA,NA,NA,NA,NA,NA
Anas acuta,NA,944.62,235,NA,NA,NA,NA,NA,NA,NA
Dromococcyx phasianellus,NA,84.5,119,NA,NA,NA,NA,NA,NA,NA
Harpagus bidentatus,NA,215.25,34,NA,NA,NA,NA,NA,NA,NA
Polioptila sp.,NA,0.0,31,NA,NA,NA,NA,NA,NA,NA
Stilpnia larvata,NA,0.0,85,NA,NA,NA,NA,NA,NA,NA
Parulidae sp.,NA,0.0,88,NA,NA,NA,NA,NA,NA,NA
Leptodon cayanensis,NA,474.0,28,NA,NA,NA,NA,NA,NA,NA
Pluvialis dominica,NA,151.47,65,NA,NA,NA,NA,NA,NA,NA
Tyrannus sp. (yellow-bellied),NA,0.0,133,NA,NA,NA,NA,NA,NA,NA
Ictinia plumbea,NA,249.9,18,NA,NA,NA,NA,NA,NA,NA
Seiurus aurocapilla,NA,18.8,278,NA,NA,NA,NA,NA,NA,NA
Geotrygon montana,NA,133.86,86,NA,NA,NA,NA,NA,NA,NA
Plegadis falcinellus/chihi,NA,0.0,3,NA,NA,NA,NA,NA,NA,NA
Sporophila corvina,NA,10.62,117,NA,NA,NA,NA,NA,NA,NA
Amazilia yucatanensis,NA,3.89,104,NA,NA,NA,NA,NA,NA,NA
Tilmatura dupontii,NA,2.2,39,NA,NA,NA,NA,NA,NA,NA
Progne subis,NA,53.79,63,NA,NA,NA,NA,NA,NA,NA
Celeus castaneus,NA,85.59,33,NA,NA,NA,NA,NA,NA,NA
Glaucidium sp.,NA,0.0,18,NA,NA,NA,NA,NA,NA,NA
Calidris melanotos,NA,79.73,89,NA,NA,NA,NA,NA,NA,NA
Coccothraustes abeillei,NA,48.5,28,NA,NA,NA,NA,NA,NA,NA
Xiphocolaptes promeropirhynchus,NA,93.04,250,NA,NA,NA,NA,NA,NA,NA
Busarellus nigricollis,NA,766.14,4,NA,NA,NA,NA,NA,NA,NA
Dendrocygna bicolor,NA,756.37,82,NA,NA,NA,NA,NA,NA,NA
Vireo sp.,NA,0.0,75,NA,NA,NA,NA,NA,NA,NA
Vireo philadelphicus,NA,11.5,33,NA,NA,NA,NA,NA,NA,NA
Setophaga sp.,NA,0.0,17,NA,NA,NA,NA,NA,NA,NA
Clibanornis rubiginosus,NA,0.0,161,NA,NA,NA,NA,NA,NA,NA
Setophaga castanea,NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Manacus candei,NA,19.82,50,NA,NA,NA,NA,NA,NA,NA
Scolopacidae sp. (large shorebird sp.),NA,0.0,17,NA,NA,NA,NA,NA,NA,NA
Coccyzus erythropthalmus,NA,50.9,11,NA,NA,NA,NA,NA,NA,NA
Podicipedidae sp.,NA,0.0,8,NA,NA,NA,NA,NA,NA,NA
Geothlypis formosa,NA,0.0,74,NA,NA,NA,NA,NA,NA,NA
Icterus chrysater,NA,53.4,11,NA,NA,NA,NA,NA,NA,NA
Numenius americanus,NA,583.86,67,NA,NA,NA,NA,NA,NA,NA
Accipiter striatus/cooperii,NA,0.0,21,NA,NA,NA,NA,NA,NA,NA
Penelopina nigra,NA,889.99,1,NA,NA,NA,NA,NA,NA,NA
Vireo leucophrys,NA,12.3,107,NA,NA,NA,NA,NA,NA,NA
Geotrygon/Leptotrygon/Zentrygon sp.,NA,0.0,6,NA,NA,NA,NA,NA,NA,NA
Legatus leucophaius,NA,22.2,144,NA,NA,NA,NA,NA,NA,NA
Sclerurus mexicanus,NA,25.1,59,NA,NA,NA,NA,NA,NA,NA
Pharomachrus mocinno,NA,202.46,1,NA,NA,NA,NA,NA,NA,NA
Phalaropus tricolor,NA,0.0,137,NA,NA,NA,NA,NA,NA,NA
Dendrocolaptinae sp.,NA,0.0,27,NA,NA,NA,NA,NA,NA,NA
Botaurus lentiginosus,NA,706.0,16,NA,NA,NA,NA,NA,NA,NA
Anatinae sp.,NA,0.0,46,NA,NA,NA,NA,NA,NA,NA
Hylorchilus navai,NA,29.3,68,NA,NA,NA,NA,NA,NA,NA
Catharus minimus,NA,31.58,3,NA,NA,NA,NA,NA,NA,NA
Mionectes oleagineus,NA,11.17,125,NA,NA,NA,NA,NA,NA,NA
Setophaga fusca,NA,0.0,51,NA,NA,NA,NA,NA,NA,NA
Larinae sp.,NA,0.0,33,NA,NA,NA,NA,NA,NA,NA
Bartramia longicauda,NA,158.92,49,NA,NA,NA,NA,NA,NA,NA
Psiloscops flammeolus,NA,0.0,77,NA,NA,NA,NA,NA,NA,NA
Campylopterus excellens,NA,6.0,46,NA,NA,NA,NA,NA,NA,NA
Empidonax hammondii/oberholseri,NA,0.0,34,NA,NA,NA,NA,NA,NA,NA
Tyrannus tyrannus,NA,39.85,125,NA,NA,NA,NA,NA,NA,NA
Corvus sp. (raven sp.),NA,0.0,10,NA,NA,NA,NA,NA,NA,NA
Tyrannus savana,NA,31.9,65,NA,NA,NA,NA,NA,NA,NA
Setophaga townsendi x occidentalis,NA,0.0,44,NA,NA,NA,NA,NA,NA,NA
Calidris pusilla,NA,27.5,172,NA,NA,NA,NA,NA,NA,NA
Streptopelia decaocto,NA,148.96,745,NA,NA,NA,NA,NA,NA,NA
Aegolius acadicus,NA,100.69,35,NA,NA,NA,NA,NA,NA,NA
Sula dactylatra/granti,NA,0.0,45,NA,NA,NA,NA,NA,NA,NA
Spizaetus melanoleucus,NA,850.0,15,NA,NA,NA,NA,NA,NA,NA
Geothlypis sp. (yellowthroat sp.),NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Passerina sp.,NA,0.0,69,NA,NA,NA,NA,NA,NA,NA
Stercorarius pomarinus,NA,692.47,112,NA,NA,NA,NA,NA,NA,NA
Psittacara strenuus,NA,0.0,60,NA,NA,NA,NA,NA,NA,NA
Leptopogon amaurocephalus,NA,11.7,36,NA,NA,NA,NA,NA,NA,NA
Icteridae sp.,NA,0.0,36,NA,NA,NA,NA,NA,NA,NA
Caprimulgidae sp.,NA,0.0,7,NA,NA,NA,NA,NA,NA,NA
Furnariidae sp. (foliage-gleaner sp.),NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Accipiter sp.,NA,0.0,50,NA,NA,NA,NA,NA,NA,NA
Tyrannidae sp.,NA,0.0,23,NA,NA,NA,NA,NA,NA,NA
Geothlypis philadelphia,NA,0.0,20,NA,NA,NA,NA,NA,NA,NA
Sula sula,NA,1031.1,56,NA,NA,NA,NA,NA,NA,NA
Euphonia sp.,NA,0.0,65,NA,NA,NA,NA,NA,NA,NA
Leptotila sp.,NA,0.0,8,NA,NA,NA,NA,NA,NA,NA
Campephilus sp./Dryocopus lineatus,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Corvidae sp. (jay sp.),NA,0.0,5,NA,NA,NA,NA,NA,NA,NA
Calidris sp. (peep sp.),NA,0.0,140,NA,NA,NA,NA,NA,NA,NA
Falco femoralis,NA,335.76,70,NA,NA,NA,NA,NA,NA,NA
Charadriiformes sp.,NA,0.0,68,NA,NA,NA,NA,NA,NA,NA
Haematopus palliatus,NA,601.45,255,NA,NA,NA,NA,NA,NA,NA
Empidonax virescens,NA,12.6,10,NA,NA,NA,NA,NA,NA,NA
Vireolanius pulchellus,NA,24.0,122,NA,NA,NA,NA,NA,NA,NA
Ceratopipra mentalis,NA,0.0,77,NA,NA,NA,NA,NA,NA,NA
Eucometis penicillata,NA,27.0,16,NA,NA,NA,NA,NA,NA,NA
Anas diazi,NA,0.0,6,NA,NA,NA,NA,NA,NA,NA
Archilochus colubris/alexandri,NA,0.0,36,NA,NA,NA,NA,NA,NA,NA
Calothorax lucifer/pulcher,NA,0.0,6,NA,NA,NA,NA,NA,NA,NA
Sturnella neglecta/magna,NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Selasphorus calliope,NA,0.0,17,NA,NA,NA,NA,NA,NA,NA
Puffinus sp. (black-and-white shearwater sp.),NA,0.0,50,NA,NA,NA,NA,NA,NA,NA
Ardenna grisea,NA,0.0,15,NA,NA,NA,NA,NA,NA,NA
Spizaetus ornatus,NA,1197.4,78,NA,NA,NA,NA,NA,NA,NA
Chaetura pelagica,NA,23.6,30,NA,NA,NA,NA,NA,NA,NA
Pheucticus ludovicianus/melanocephalus,NA,0.0,36,NA,NA,NA,NA,NA,NA,NA
Sclerurus guatemalensis,NA,34.7,6,NA,NA,NA,NA,NA,NA,NA
Lophornis helenae,NA,2.6,59,NA,NA,NA,NA,NA,NA,NA
Phaethornis longirostris/superciliosus,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Oceanitidae/Hydrobatidae sp.,NA,0.0,49,NA,NA,NA,NA,NA,NA,NA
Sula dactylatra,NA,1732.08,44,NA,NA,NA,NA,NA,NA,NA
Procellariidae sp. (shearwater sp.),NA,0.0,41,NA,NA,NA,NA,NA,NA,NA
Icterus bullockii/galbula,NA,0.0,42,NA,NA,NA,NA,NA,NA,NA
Platyrinchus cancrominus,NA,9.2,62,NA,NA,NA,NA,NA,NA,NA
Phalaropus lobatus/fulicarius,NA,0.0,35,NA,NA,NA,NA,NA,NA,NA
Puffinus opisthomelas,NA,408.0,96,NA,NA,NA,NA,NA,NA,NA
Puffinus auricularis,NA,350.8,13,NA,NA,NA,NA,NA,NA,NA
Limnodromus griseus/scolopaceus,NA,0.0,61,NA,NA,NA,NA,NA,NA,NA
Tyrannus vociferans/verticalis,NA,0.0,22,NA,NA,NA,NA,NA,NA,NA
Strix fulvescens,NA,559.09,131,NA,NA,NA,NA,NA,NA,NA
Stercorarius maccormicki,NA,0.0,12,NA,NA,NA,NA,NA,NA,NA
Oceanodroma sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Piranga olivacea,NA,28.2,13,NA,NA,NA,NA,NA,NA,NA
Setophaga caerulescens,NA,0.0,4,NA,NA,NA,NA,NA,NA,NA
Crypturellus boucardi,NA,435.62,125,NA,NA,NA,NA,NA,NA,NA
Rallus limicola,NA,84.1,11,NA,NA,NA,NA,NA,NA,NA
Ixobrychus exilis,NA,86.29,5,NA,NA,NA,NA,NA,NA,NA
Hylomanes momotula,NA,29.3,46,NA,NA,NA,NA,NA,NA,NA
Heliornis fulica,NA,132.0,3,NA,NA,NA,NA,NA,NA,NA
Icterus bullockii x galbula,NA,0.0,22,NA,NA,NA,NA,NA,NA,NA
Aythya collaris,NA,704.55,214,NA,NA,NA,NA,NA,NA,NA
Toxostoma curvirostre/bendirei,NA,0.0,11,NA,NA,NA,NA,NA,NA,NA
Myiodynastes maculatus,NA,43.2,27,NA,NA,NA,NA,NA,NA,NA
Onychoprion fuscatus,NA,0.0,16,NA,NA,NA,NA,NA,NA,NA
Aquila chrysaetos,NA,4247.97,5,NA,NA,NA,NA,NA,NA,NA
Sterna sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Oceanodroma leucorhoa,NA,36.71,18,NA,NA,NA,NA,NA,NA,NA
Anous stolidus,NA,177.77,19,NA,NA,NA,NA,NA,NA,NA
Jabiru mycteria,NA,5996.29,6,NA,NA,NA,NA,NA,NA,NA
Haemorhous sp.,NA,0.0,11,NA,NA,NA,NA,NA,NA,NA
Aythya americana,NA,1075.69,182,NA,NA,NA,NA,NA,NA,NA
Chaetura pelagica/vauxi,NA,0.0,35,NA,NA,NA,NA,NA,NA,NA
Chaetura sp.,NA,0.0,18,NA,NA,NA,NA,NA,NA,NA
Setophaga striata,NA,0.0,3,NA,NA,NA,NA,NA,NA,NA
Contopus virens,NA,13.9,150,NA,NA,NA,NA,NA,NA,NA
Setophaga palmarum,NA,0.0,22,NA,NA,NA,NA,NA,NA,NA
Aix sponsa,NA,657.59,14,NA,NA,NA,NA,NA,NA,NA
Lophodytes cucullatus,NA,613.77,17,NA,NA,NA,NA,NA,NA,NA
Larus delawarensis,NA,516.31,46,NA,NA,NA,NA,NA,NA,NA
Notharchus hyperrhynchus,NA,95.89,4,NA,NA,NA,NA,NA,NA,NA
Eupsittula/Aratinga/Thectocercus/Psittacara sp.,NA,0.0,22,NA,NA,NA,NA,NA,NA,NA
Sula granti,NA,1732.08,47,NA,NA,NA,NA,NA,NA,NA
Empidonax alnorum/traillii,NA,0.0,75,NA,NA,NA,NA,NA,NA,NA
Oceanodroma tethys,NA,22.6,39,NA,NA,NA,NA,NA,NA,NA
Accipitridae sp. (hawk sp.),NA,0.0,84,NA,NA,NA,NA,NA,NA,NA
Vireo olivaceus,NA,16.06,47,NA,NA,NA,NA,NA,NA,NA
Calidris pugnax,NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Thalasseus maximus/elegans,NA,0.0,60,NA,NA,NA,NA,NA,NA,NA
Elanoides forficatus,NA,416.24,9,NA,NA,NA,NA,NA,NA,NA
Molothrus aeneus/ater,NA,0.0,4,NA,NA,NA,NA,NA,NA,NA
Limosa haemastica,NA,253.29,16,NA,NA,NA,NA,NA,NA,NA
Dolichonyx oryzivorus,NA,31.46,5,NA,NA,NA,NA,NA,NA,NA
Athene cunicularia,NA,150.61,11,NA,NA,NA,NA,NA,NA,NA
Puffinus nativitatis,NA,356.0,1,NA,NA,NA,NA,NA,NA,NA
Anthus cervinus,NA,20.9,4,NA,NA,NA,NA,NA,NA,NA
Onychoprion fuscatus/anaethetus,NA,0.0,8,NA,NA,NA,NA,NA,NA,NA
Anser caerulescens,NA,0.0,4,NA,NA,NA,NA,NA,NA,NA
Protonotaria citrea,NA,14.3,2,NA,NA,NA,NA,NA,NA,NA
Nyctiphrynus mcleodii,NA,35.0,5,NA,NA,NA,NA,NA,NA,NA
Antrostomus carolinensis,NA,0.0,12,NA,NA,NA,NA,NA,NA,NA
Gallinula chloropus/galeata,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Falco mexicanus,NA,713.07,2,NA,NA,NA,NA,NA,NA,NA
Habia sp.,NA,0.0,11,NA,NA,NA,NA,NA,NA,NA
Mareca strepera,NA,0.0,157,NA,NA,NA,NA,NA,NA,NA
Tringa melanoleuca/flavipes,NA,0.0,20,NA,NA,NA,NA,NA,NA,NA
Xanthocephalus xanthocephalus,NA,62.68,10,NA,NA,NA,NA,NA,NA,NA
Spatula discors/cyanoptera,NA,0.0,5,NA,NA,NA,NA,NA,NA,NA
Petrochelidon fulva,NA,18.95,10,NA,NA,NA,NA,NA,NA,NA
Setophaga discolor,NA,0.0,4,NA,NA,NA,NA,NA,NA,NA
Oceanodroma leucorhoa/socorroensis/cheimomnestes,NA,0.0,22,NA,NA,NA,NA,NA,NA,NA
Buteogallus solitarius,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Stercorarius pomarinus/parasiticus,NA,0.0,18,NA,NA,NA,NA,NA,NA,NA
Calidris pusilla/mauri,NA,0.0,51,NA,NA,NA,NA,NA,NA,NA
Sulidae sp.,NA,0.0,11,NA,NA,NA,NA,NA,NA,NA
Stercorarius longicaudus,NA,287.9,16,NA,NA,NA,NA,NA,NA,NA
Geothlypis tolmiei/philadelphia,NA,0.0,7,NA,NA,NA,NA,NA,NA,NA
Stercorarius sp. (jaeger sp.),NA,0.0,24,NA,NA,NA,NA,NA,NA,NA
Cathartidae sp.,NA,0.0,10,NA,NA,NA,NA,NA,NA,NA
Petrochelidon pyrrhonota/fulva,NA,0.0,8,NA,NA,NA,NA,NA,NA,NA
Myiopsitta monachus,NA,120.0,148,NA,NA,NA,NA,NA,NA,NA
Cypseloides sp.,NA,0.0,8,NA,NA,NA,NA,NA,NA,NA
Calidris alpina,NA,51.89,9,NA,NA,NA,NA,NA,NA,NA
Lipaugus unirufus,NA,82.1,42,NA,NA,NA,NA,NA,NA,NA
Pterodroma externa,NA,428.0,1,NA,NA,NA,NA,NA,NA,NA
Psarocolius sp.,NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Parkesia motacilla/noveboracensis,NA,0.0,28,NA,NA,NA,NA,NA,NA,NA
Turdidae sp.,NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Phalacrocorax auritus,NA,1806.49,1,NA,NA,NA,NA,NA,NA,NA
Campylopterus rufus,NA,7.1,26,NA,NA,NA,NA,NA,NA,NA
Zonotrichia leucophrys,NA,28.0,1,NA,NA,NA,NA,NA,NA,NA
Streptoprocne sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Sarcoramphus papa,NA,3400.0,49,NA,NA,NA,NA,NA,NA,NA
Stercorarius parasiticus/longicaudus,NA,0.0,10,NA,NA,NA,NA,NA,NA,NA
Nycticorax nycticorax/Nyctanassa violacea,NA,0.0,18,NA,NA,NA,NA,NA,NA,NA
Schiffornis veraepacis,NA,0.0,12,NA,NA,NA,NA,NA,NA,NA
Anatidae sp. (dabbling duck sp.),NA,0.0,13,NA,NA,NA,NA,NA,NA,NA
Lophostrix cristata,NA,538.66,8,NA,NA,NA,NA,NA,NA,NA
Ardenna grisea/tenuirostris,NA,0.0,3,NA,NA,NA,NA,NA,NA,NA
Florisuga mellivora,NA,7.4,7,NA,NA,NA,NA,NA,NA,NA
Pluvialis fulva,NA,134.9,1,NA,NA,NA,NA,NA,NA,NA
Accipiter bicolor,NA,287.54,8,NA,NA,NA,NA,NA,NA,NA
Limnothlypis swainsonii,NA,18.9,2,NA,NA,NA,NA,NA,NA,NA
Pionus sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Antrostomus vociferus/arizonae,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Pluvialis sp.,NA,0.0,10,NA,NA,NA,NA,NA,NA,NA
Larus californicus,NA,683.39,11,NA,NA,NA,NA,NA,NA,NA
Aythya sp.,NA,0.0,4,NA,NA,NA,NA,NA,NA,NA
Spatula discors x cyanoptera,NA,0.0,4,NA,NA,NA,NA,NA,NA,NA
Leiothlypis luciae,NA,0.0,11,NA,NA,NA,NA,NA,NA,NA
Setophaga townsendi/occidentalis,NA,0.0,13,NA,NA,NA,NA,NA,NA,NA
Apodidae sp. (large swift sp.),NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Caprimulgus sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Megascops sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Apodidae sp. (small swift sp.),NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Calidris alpina x fuscicollis,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Thryophilus sinaloa,NA,0.0,12,NA,NA,NA,NA,NA,NA,NA
Geranoaetus/Buteo sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Sula sp.,NA,0.0,11,NA,NA,NA,NA,NA,NA,NA
Plegadis falcinellus,NA,626.61,3,NA,NA,NA,NA,NA,NA,NA
Eupherusa poliocerca,NA,4.85,4,NA,NA,NA,NA,NA,NA,NA
Phalaropus sp.,NA,0.0,34,NA,NA,NA,NA,NA,NA,NA
Icterus spurius/cucullatus,NA,0.0,10,NA,NA,NA,NA,NA,NA,NA
Setophaga chrysoparia,NA,0.0,13,NA,NA,NA,NA,NA,NA,NA
Passerina amoena/cyanea,NA,0.0,5,NA,NA,NA,NA,NA,NA,NA
Oceanodroma leucorhoa/socorroensis (dark-rumped),NA,0.0,19,NA,NA,NA,NA,NA,NA,NA
Gavia immer,NA,4956.81,2,NA,NA,NA,NA,NA,NA,NA
Thalasseus sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Pseudobulweria rostrata,NA,409.0,14,NA,NA,NA,NA,NA,NA,NA
Ardea/Egretta/Bubulcus sp.,NA,0.0,27,NA,NA,NA,NA,NA,NA,NA
Buteo/eagle sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Myiodynastes maculatus/luteiventris,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Onychoprion anaethetus,NA,0.0,13,NA,NA,NA,NA,NA,NA,NA
Selasphorus rufus/sasin,NA,0.0,8,NA,NA,NA,NA,NA,NA,NA
Columba livia/Patagioenas fasciata,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Phaethon sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Myioborus sp.,NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Sphyrapicus thyroideus,NA,47.6,5,NA,NA,NA,NA,NA,NA,NA
Sterna paradisaea,NA,110.0,14,NA,NA,NA,NA,NA,NA,NA
Laridae sp.,NA,0.0,18,NA,NA,NA,NA,NA,NA,NA
Cantorchilus modestus,NA,0.0,49,NA,NA,NA,NA,NA,NA,NA
Henicorhina sp.,NA,0.0,9,NA,NA,NA,NA,NA,NA,NA
Spinus sp.,NA,0.0,11,NA,NA,NA,NA,NA,NA,NA
Catharus fuscescens,NA,31.9,4,NA,NA,NA,NA,NA,NA,NA
Asio otus,NA,296.57,4,NA,NA,NA,NA,NA,NA,NA
Falco sp. (small falcon sp.),NA,0.0,7,NA,NA,NA,NA,NA,NA,NA
Falco sp. (large falcon sp.),NA,0.0,4,NA,NA,NA,NA,NA,NA,NA
Columbina sp.,NA,0.0,15,NA,NA,NA,NA,NA,NA,NA
Spizaetus sp.,NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Falco sp.,NA,0.0,10,NA,NA,NA,NA,NA,NA,NA
Spinus sp. (goldfinch sp.),NA,0.0,3,NA,NA,NA,NA,NA,NA,NA
Lonchura malacca,NA,12.6,3,NA,NA,NA,NA,NA,NA,NA
Psittacara sp.,NA,0.0,9,NA,NA,NA,NA,NA,NA,NA
Dendrocolaptes sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Momotidae sp.,NA,0.0,8,NA,NA,NA,NA,NA,NA,NA
Coccyzus sp.,NA,0.0,8,NA,NA,NA,NA,NA,NA,NA
Patagioenas sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Haemorhous cassinii,NA,0.0,5,NA,NA,NA,NA,NA,NA,NA
Phaethornis sp.,NA,0.0,9,NA,NA,NA,NA,NA,NA,NA
Aythya marila/affinis,NA,0.0,3,NA,NA,NA,NA,NA,NA,NA
Sporophila sp.,NA,0.0,6,NA,NA,NA,NA,NA,NA,NA
Tityra sp.,NA,0.0,3,NA,NA,NA,NA,NA,NA,NA
Amaurospiza concolor,NA,13.1,4,NA,NA,NA,NA,NA,NA,NA
Mergus serrator,NA,1015.17,1,NA,NA,NA,NA,NA,NA,NA
Heliomaster longirostris/constantii,NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Antrostomus sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Buteogallus anthracinus/urubitinga,NA,0.0,8,NA,NA,NA,NA,NA,NA,NA
Petrochelidon sp.,NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Buteogallus sp.,NA,0.0,3,NA,NA,NA,NA,NA,NA,NA
Psittacara holochlorus/strenuus,NA,0.0,5,NA,NA,NA,NA,NA,NA,NA
Lepidocolaptes sp.,NA,0.0,6,NA,NA,NA,NA,NA,NA,NA
Ictinia mississippiensis/plumbea,NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Archilochus alexandri,NA,3.39,1,NA,NA,NA,NA,NA,NA,NA
Regulus sp.,NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Anser sp.,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Rallidae sp. (rail/crake sp.),NA,0.0,4,NA,NA,NA,NA,NA,NA,NA
Aythya valisineria,NA,1202.0,3,NA,NA,NA,NA,NA,NA,NA
Thraupis sp.,NA,0.0,5,NA,NA,NA,NA,NA,NA,NA
Oceanitidae/Hydrobatidae sp. (dark-rumped),NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Oceanitidae/Hydrobatidae sp. (white-rumped),NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Toxostoma sp.,NA,0.0,2,NA,NA,NA,NA,NA,NA,NA
Aquila chrysaetos/Haliaeetus leucocephalus,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
Columbina passerina/talpacoti,NA,0.0,1,NA,NA,NA,NA,NA,NA,NA
