,species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements,density,e1,e2
639,Phalaropus lobatus,,36.68,143,,,,,,,,,,
640,Antrostomus ridgwayi,,0.0,497,,,,,,,,,,
641,Granatellus sallaei,,9.9,6,,,,,,,,,,
642,Calidris bairdii,,40.97,62,,,,,,,,,,
643,Abeillia abeillei,,2.7,88,,,,,,,,,,
644,Limnodromus griseus,,110.53,214,,,,,,,,,,
645,Calidris virgata,,0.0,33,,,,,,,,,,
646,Cathartes burrovianus,,935.0,9,,,,,,,,,,
647,Sterna hirundo/paradisaea,,0.0,11,,,,,,,,,,
648,Chlorophonia occipitalis,,25.8,178,,,,,,,,,,
649,Cyanolyca cucullata,,101.33,196,,,,,,,,,,
650,Phaethon aethereus/rubricauda,,0.0,1,,,,,,,,,,
651,Poecilotriccus sylvia,,7.1,50,,,,,,,,,,
652,Grallaria guatimalensis,,94.2,17,,,,,,,,,,
653,Aves sp.,,0.0,65,,,,,,,,,,
654,Spizella sp.,,0.0,7,,,,,,,,,,
655,Anatidae sp. (teal sp.),,0.0,14,,,,,,,,,,
656,Spatula cyanoptera,,0.0,175,,,,,,,,,,
657,Amazona farinosa,,625.99,208,,,,,,,,,,
658,Anas acuta,,944.62,235,,,,,,,,,,
659,Dromococcyx phasianellus,,84.5,119,,,,,,,,,,
660,Harpagus bidentatus,,215.25,34,,,,,,,,,,
661,Polioptila sp.,,0.0,31,,,,,,,,,,
662,Stilpnia larvata,,0.0,85,,,,,,,,,,
663,Parulidae sp.,,0.0,88,,,,,,,,,,
664,Leptodon cayanensis,,474.0,28,,,,,,,,,,
665,Pluvialis dominica,,151.47,65,,,,,,,,,,
666,Tyrannus sp. (yellow-bellied),,0.0,133,,,,,,,,,,
667,Ictinia plumbea,,249.9,18,,,,,,,,,,
668,Seiurus aurocapilla,,18.8,278,,,,,,,,,,
669,Geotrygon montana,,133.86,86,,,,,,,,,,
670,Plegadis falcinellus/chihi,,0.0,3,,,,,,,,,,
671,Sporophila corvina,,10.62,117,,,,,,,,,,
672,Amazilia yucatanensis,,3.89,104,,,,,,,,,,
673,Tilmatura dupontii,,2.2,39,,,,,,,,,,
674,Progne subis,,53.79,63,,,,,,,,,,
675,Celeus castaneus,,85.59,33,,,,,,,,,,
676,Glaucidium sp.,,0.0,18,,,,,,,,,,
677,Calidris melanotos,,79.73,89,,,,,,,,,,
678,Coccothraustes abeillei,,48.5,28,,,,,,,,,,
679,Xiphocolaptes promeropirhynchus,,93.04,250,,,,,,,,,,
680,Busarellus nigricollis,,766.14,4,,,,,,,,,,
681,Dendrocygna bicolor,,756.37,82,,,,,,,,,,
682,Vireo sp.,,0.0,75,,,,,,,,,,
683,Vireo philadelphicus,,11.5,33,,,,,,,,,,
684,Setophaga sp.,,0.0,17,,,,,,,,,,
685,Clibanornis rubiginosus,,0.0,161,,,,,,,,,,
686,Setophaga castanea,,0.0,2,,,,,,,,,,
687,Manacus candei,,19.82,50,,,,,,,,,,
688,Scolopacidae sp. (large shorebird sp.),,0.0,17,,,,,,,,,,
689,Coccyzus erythropthalmus,,50.9,11,,,,,,,,,,
690,Podicipedidae sp.,,0.0,8,,,,,,,,,,
691,Geothlypis formosa,,0.0,74,,,,,,,,,,
692,Icterus chrysater,,53.4,11,,,,,,,,,,
693,Numenius americanus,,583.86,67,,,,,,,,,,
694,Accipiter striatus/cooperii,,0.0,21,,,,,,,,,,
695,Penelopina nigra,,889.99,1,,,,,,,,,,
696,Vireo leucophrys,,12.3,107,,,,,,,,,,
697,Geotrygon/Leptotrygon/Zentrygon sp.,,0.0,6,,,,,,,,,,
698,Legatus leucophaius,,22.2,144,,,,,,,,,,
699,Sclerurus mexicanus,,25.1,59,,,,,,,,,,
700,Pharomachrus mocinno,,202.46,1,,,,,,,,,,
701,Phalaropus tricolor,,0.0,137,,,,,,,,,,
702,Dendrocolaptinae sp.,,0.0,27,,,,,,,,,,
703,Botaurus lentiginosus,,706.0,16,,,,,,,,,,
704,Anatinae sp.,,0.0,46,,,,,,,,,,
705,Hylorchilus navai,,29.3,68,,,,,,,,,,
706,Catharus minimus,,31.58,3,,,,,,,,,,
707,Mionectes oleagineus,,11.17,125,,,,,,,,,,
708,Setophaga fusca,,0.0,51,,,,,,,,,,
709,Larinae sp.,,0.0,33,,,,,,,,,,
710,Bartramia longicauda,,158.92,49,,,,,,,,,,
711,Psiloscops flammeolus,,0.0,77,,,,,,,,,,
712,Campylopterus excellens,,6.0,46,,,,,,,,,,
713,Empidonax hammondii/oberholseri,,0.0,34,,,,,,,,,,
714,Tyrannus tyrannus,,39.85,125,,,,,,,,,,
715,Corvus sp. (raven sp.),,0.0,10,,,,,,,,,,
716,Tyrannus savana,,31.9,65,,,,,,,,,,
717,Setophaga townsendi x occidentalis,,0.0,44,,,,,,,,,,
718,Calidris pusilla,,27.5,172,,,,,,,,,,
719,Streptopelia decaocto,,148.96,745,,,,,,,,,,
720,Aegolius acadicus,,100.69,35,,,,,,,,,,
721,Sula dactylatra/granti,,0.0,45,,,,,,,,,,
722,Spizaetus melanoleucus,,850.0,15,,,,,,,,,,
723,Geothlypis sp. (yellowthroat sp.),,0.0,1,,,,,,,,,,
724,Passerina sp.,,0.0,69,,,,,,,,,,
725,Stercorarius pomarinus,,692.47,112,,,,,,,,,,
726,Psittacara strenuus,,0.0,60,,,,,,,,,,
727,Leptopogon amaurocephalus,,11.7,36,,,,,,,,,,
728,Icteridae sp.,,0.0,36,,,,,,,,,,
729,Caprimulgidae sp.,,0.0,7,,,,,,,,,,
730,Furnariidae sp. (foliage-gleaner sp.),,0.0,1,,,,,,,,,,
731,Accipiter sp.,,0.0,50,,,,,,,,,,
732,Tyrannidae sp.,,0.0,23,,,,,,,,,,
733,Geothlypis philadelphia,,0.0,20,,,,,,,,,,
734,Sula sula,,1031.1,56,,,,,,,,,,
735,Euphonia sp.,,0.0,65,,,,,,,,,,
736,Leptotila sp.,,0.0,8,,,,,,,,,,
737,Campephilus sp./Dryocopus lineatus,,0.0,1,,,,,,,,,,
738,Corvidae sp. (jay sp.),,0.0,5,,,,,,,,,,
739,Calidris sp. (peep sp.),,0.0,140,,,,,,,,,,
740,Falco femoralis,,335.76,70,,,,,,,,,,
741,Charadriiformes sp.,,0.0,68,,,,,,,,,,
742,Haematopus palliatus,,601.45,255,,,,,,,,,,
743,Empidonax virescens,,12.6,10,,,,,,,,,,
744,Vireolanius pulchellus,,24.0,122,,,,,,,,,,
745,Ceratopipra mentalis,,0.0,77,,,,,,,,,,
746,Eucometis penicillata,,27.0,16,,,,,,,,,,
747,Anas diazi,,0.0,6,,,,,,,,,,
748,Archilochus colubris/alexandri,,0.0,36,,,,,,,,,,
749,Calothorax lucifer/pulcher,,0.0,6,,,,,,,,,,
750,Sturnella neglecta/magna,,0.0,2,,,,,,,,,,
751,Selasphorus calliope,,0.0,17,,,,,,,,,,
752,Puffinus sp. (black-and-white shearwater sp.),,0.0,50,,,,,,,,,,
753,Ardenna grisea,,0.0,15,,,,,,,,,,
754,Spizaetus ornatus,,1197.4,78,,,,,,,,,,
755,Chaetura pelagica,,23.6,30,,,,,,,,,,
756,Pheucticus ludovicianus/melanocephalus,,0.0,36,,,,,,,,,,
757,Sclerurus guatemalensis,,34.7,6,,,,,,,,,,
758,Lophornis helenae,,2.6,59,,,,,,,,,,
759,Phaethornis longirostris/superciliosus,,0.0,1,,,,,,,,,,
760,Oceanitidae/Hydrobatidae sp.,,0.0,49,,,,,,,,,,
761,Sula dactylatra,,1732.08,44,,,,,,,,,,
762,Procellariidae sp. (shearwater sp.),,0.0,41,,,,,,,,,,
763,Icterus bullockii/galbula,,0.0,42,,,,,,,,,,
764,Platyrinchus cancrominus,,9.2,62,,,,,,,,,,
765,Phalaropus lobatus/fulicarius,,0.0,35,,,,,,,,,,
766,Puffinus opisthomelas,,408.0,96,,,,,,,,,,
767,Puffinus auricularis,,350.8,13,,,,,,,,,,
768,Limnodromus griseus/scolopaceus,,0.0,61,,,,,,,,,,
769,Tyrannus vociferans/verticalis,,0.0,22,,,,,,,,,,
770,Strix fulvescens,,559.09,131,,,,,,,,,,
771,Stercorarius maccormicki,,0.0,12,,,,,,,,,,
772,Oceanodroma sp.,,0.0,1,,,,,,,,,,
773,Piranga olivacea,,28.2,13,,,,,,,,,,
774,Setophaga caerulescens,,0.0,4,,,,,,,,,,
775,Crypturellus boucardi,,435.62,125,,,,,,,,,,
776,Rallus limicola,,84.1,11,,,,,,,,,,
777,Ixobrychus exilis,,86.29,5,,,,,,,,,,
778,Hylomanes momotula,,29.3,46,,,,,,,,,,
779,Heliornis fulica,,132.0,3,,,,,,,,,,
780,Icterus bullockii x galbula,,0.0,22,,,,,,,,,,
781,Aythya collaris,,704.55,214,,,,,,,,,,
782,Toxostoma curvirostre/bendirei,,0.0,11,,,,,,,,,,
783,Myiodynastes maculatus,,43.2,27,,,,,,,,,,
784,Onychoprion fuscatus,,0.0,16,,,,,,,,,,
785,Aquila chrysaetos,,4247.97,5,,,,,,,,,,
786,Sterna sp.,,0.0,1,,,,,,,,,,
787,Oceanodroma leucorhoa,,36.71,18,,,,,,,,,,
788,Anous stolidus,,177.77,19,,,,,,,,,,
789,Jabiru mycteria,,5996.29,6,,,,,,,,,,
790,Haemorhous sp.,,0.0,11,,,,,,,,,,
791,Aythya americana,,1075.69,182,,,,,,,,,,
792,Chaetura pelagica/vauxi,,0.0,35,,,,,,,,,,
793,Chaetura sp.,,0.0,18,,,,,,,,,,
794,Setophaga striata,,0.0,3,,,,,,,,,,
795,Contopus virens,,13.9,150,,,,,,,,,,
796,Setophaga palmarum,,0.0,22,,,,,,,,,,
797,Aix sponsa,,657.59,14,,,,,,,,,,
798,Lophodytes cucullatus,,613.77,17,,,,,,,,,,
799,Larus delawarensis,,516.31,46,,,,,,,,,,
800,Notharchus hyperrhynchus,,95.89,4,,,,,,,,,,
801,Eupsittula/Aratinga/Thectocercus/Psittacara sp.,,0.0,22,,,,,,,,,,
802,Sula granti,,1732.08,47,,,,,,,,,,
803,Empidonax alnorum/traillii,,0.0,75,,,,,,,,,,
804,Oceanodroma tethys,,22.6,39,,,,,,,,,,
805,Accipitridae sp. (hawk sp.),,0.0,84,,,,,,,,,,
806,Vireo olivaceus,,16.06,47,,,,,,,,,,
807,Calidris pugnax,,0.0,2,,,,,,,,,,
808,Thalasseus maximus/elegans,,0.0,60,,,,,,,,,,
809,Elanoides forficatus,,416.24,9,,,,,,,,,,
810,Molothrus aeneus/ater,,0.0,4,,,,,,,,,,
811,Limosa haemastica,,253.29,16,,,,,,,,,,
812,Dolichonyx oryzivorus,,31.46,5,,,,,,,,,,
813,Athene cunicularia,,150.61,11,,,,,,,,,,
814,Puffinus nativitatis,,356.0,1,,,,,,,,,,
815,Anthus cervinus,,20.9,4,,,,,,,,,,
816,Onychoprion fuscatus/anaethetus,,0.0,8,,,,,,,,,,
817,Anser caerulescens,,0.0,4,,,,,,,,,,
818,Protonotaria citrea,,14.3,2,,,,,,,,,,
819,Nyctiphrynus mcleodii,,35.0,5,,,,,,,,,,
820,Antrostomus carolinensis,,0.0,12,,,,,,,,,,
821,Gallinula chloropus/galeata,,0.0,1,,,,,,,,,,
822,Falco mexicanus,,713.07,2,,,,,,,,,,
823,Habia sp.,,0.0,11,,,,,,,,,,
824,Mareca strepera,,0.0,157,,,,,,,,,,
825,Tringa melanoleuca/flavipes,,0.0,20,,,,,,,,,,
826,Xanthocephalus xanthocephalus,,62.68,10,,,,,,,,,,
827,Spatula discors/cyanoptera,,0.0,5,,,,,,,,,,
828,Petrochelidon fulva,,18.95,10,,,,,,,,,,
829,Setophaga discolor,,0.0,4,,,,,,,,,,
830,Oceanodroma leucorhoa/socorroensis/cheimomnestes,,0.0,22,,,,,,,,,,
831,Buteogallus solitarius,,0.0,1,,,,,,,,,,
832,Stercorarius pomarinus/parasiticus,,0.0,18,,,,,,,,,,
833,Calidris pusilla/mauri,,0.0,51,,,,,,,,,,
834,Sulidae sp.,,0.0,11,,,,,,,,,,
835,Stercorarius longicaudus,,287.9,16,,,,,,,,,,
836,Geothlypis tolmiei/philadelphia,,0.0,7,,,,,,,,,,
837,Stercorarius sp. (jaeger sp.),,0.0,24,,,,,,,,,,
838,Cathartidae sp.,,0.0,10,,,,,,,,,,
839,Petrochelidon pyrrhonota/fulva,,0.0,8,,,,,,,,,,
840,Myiopsitta monachus,,120.0,148,,,,,,,,,,
841,Cypseloides sp.,,0.0,8,,,,,,,,,,
842,Calidris alpina,,51.89,9,,,,,,,,,,
843,Lipaugus unirufus,,82.1,42,,,,,,,,,,
844,Pterodroma externa,,428.0,1,,,,,,,,,,
845,Psarocolius sp.,,0.0,2,,,,,,,,,,
846,Parkesia motacilla/noveboracensis,,0.0,28,,,,,,,,,,
847,Turdidae sp.,,0.0,2,,,,,,,,,,
848,Phalacrocorax auritus,,1806.49,1,,,,,,,,,,
849,Campylopterus rufus,,7.1,26,,,,,,,,,,
850,Zonotrichia leucophrys,,28.0,1,,,,,,,,,,
851,Streptoprocne sp.,,0.0,1,,,,,,,,,,
852,Sarcoramphus papa,,3400.0,49,,,,,,,,,,
853,Stercorarius parasiticus/longicaudus,,0.0,10,,,,,,,,,,
854,Nycticorax nycticorax/Nyctanassa violacea,,0.0,18,,,,,,,,,,
855,Schiffornis veraepacis,,0.0,12,,,,,,,,,,
856,Anatidae sp. (dabbling duck sp.),,0.0,13,,,,,,,,,,
857,Lophostrix cristata,,538.66,8,,,,,,,,,,
858,Ardenna grisea/tenuirostris,,0.0,3,,,,,,,,,,
859,Florisuga mellivora,,7.4,7,,,,,,,,,,
860,Pluvialis fulva,,134.9,1,,,,,,,,,,
861,Accipiter bicolor,,287.54,8,,,,,,,,,,
862,Limnothlypis swainsonii,,18.9,2,,,,,,,,,,
863,Pionus sp.,,0.0,1,,,,,,,,,,
864,Antrostomus vociferus/arizonae,,0.0,1,,,,,,,,,,
865,Pluvialis sp.,,0.0,10,,,,,,,,,,
866,Larus californicus,,683.39,11,,,,,,,,,,
867,Aythya sp.,,0.0,4,,,,,,,,,,
868,Spatula discors x cyanoptera,,0.0,4,,,,,,,,,,
869,Leiothlypis luciae,,0.0,11,,,,,,,,,,
870,Setophaga townsendi/occidentalis,,0.0,13,,,,,,,,,,
871,Apodidae sp. (large swift sp.),,0.0,2,,,,,,,,,,
872,Caprimulgus sp.,,0.0,1,,,,,,,,,,
873,Megascops sp.,,0.0,1,,,,,,,,,,
874,Apodidae sp. (small swift sp.),,0.0,1,,,,,,,,,,
875,Calidris alpina x fuscicollis,,0.0,1,,,,,,,,,,
876,Thryophilus sinaloa,,0.0,12,,,,,,,,,,
877,Geranoaetus/Buteo sp.,,0.0,1,,,,,,,,,,
878,Sula sp.,,0.0,11,,,,,,,,,,
879,Plegadis falcinellus,,626.61,3,,,,,,,,,,
880,Eupherusa poliocerca,,4.85,4,,,,,,,,,,
881,Phalaropus sp.,,0.0,34,,,,,,,,,,
882,Icterus spurius/cucullatus,,0.0,10,,,,,,,,,,
883,Setophaga chrysoparia,,0.0,13,,,,,,,,,,
884,Passerina amoena/cyanea,,0.0,5,,,,,,,,,,
885,Oceanodroma leucorhoa/socorroensis (dark-rumped),,0.0,19,,,,,,,,,,
886,Gavia immer,,4956.81,2,,,,,,,,,,
887,Thalasseus sp.,,0.0,1,,,,,,,,,,
888,Pseudobulweria rostrata,,409.0,14,,,,,,,,,,
889,Ardea/Egretta/Bubulcus sp.,,0.0,27,,,,,,,,,,
890,Buteo/eagle sp.,,0.0,1,,,,,,,,,,
891,Myiodynastes maculatus/luteiventris,,0.0,1,,,,,,,,,,
892,Onychoprion anaethetus,,0.0,13,,,,,,,,,,
893,Selasphorus rufus/sasin,,0.0,8,,,,,,,,,,
894,Columba livia/Patagioenas fasciata,,0.0,1,,,,,,,,,,
895,Phaethon sp.,,0.0,1,,,,,,,,,,
896,Myioborus sp.,,0.0,2,,,,,,,,,,
897,Sphyrapicus thyroideus,,47.6,5,,,,,,,,,,
898,Sterna paradisaea,,110.0,14,,,,,,,,,,
899,Laridae sp.,,0.0,18,,,,,,,,,,
900,Cantorchilus modestus,,0.0,49,,,,,,,,,,
901,Henicorhina sp.,,0.0,9,,,,,,,,,,
902,Spinus sp.,,0.0,11,,,,,,,,,,
903,Catharus fuscescens,,31.9,4,,,,,,,,,,
904,Asio otus,,296.57,4,,,,,,,,,,
905,Falco sp. (small falcon sp.),,0.0,7,,,,,,,,,,
906,Falco sp. (large falcon sp.),,0.0,4,,,,,,,,,,
907,Columbina sp.,,0.0,15,,,,,,,,,,
908,Spizaetus sp.,,0.0,2,,,,,,,,,,
909,Falco sp.,,0.0,10,,,,,,,,,,
910,Spinus sp. (goldfinch sp.),,0.0,3,,,,,,,,,,
911,Lonchura malacca,,12.6,3,,,,,,,,,,
912,Psittacara sp.,,0.0,9,,,,,,,,,,
913,Dendrocolaptes sp.,,0.0,1,,,,,,,,,,
914,Momotidae sp.,,0.0,8,,,,,,,,,,
915,Coccyzus sp.,,0.0,8,,,,,,,,,,
916,Patagioenas sp.,,0.0,1,,,,,,,,,,
917,Haemorhous cassinii,,0.0,5,,,,,,,,,,
918,Phaethornis sp.,,0.0,9,,,,,,,,,,
919,Aythya marila/affinis,,0.0,3,,,,,,,,,,
920,Sporophila sp.,,0.0,6,,,,,,,,,,
921,Tityra sp.,,0.0,3,,,,,,,,,,
922,Amaurospiza concolor,,13.1,4,,,,,,,,,,
923,Mergus serrator,,1015.17,1,,,,,,,,,,
924,Heliomaster longirostris/constantii,,0.0,2,,,,,,,,,,
925,Antrostomus sp.,,0.0,1,,,,,,,,,,
926,Buteogallus anthracinus/urubitinga,,0.0,8,,,,,,,,,,
927,Petrochelidon sp.,,0.0,2,,,,,,,,,,
928,Buteogallus sp.,,0.0,3,,,,,,,,,,
929,Psittacara holochlorus/strenuus,,0.0,5,,,,,,,,,,
930,Lepidocolaptes sp.,,0.0,6,,,,,,,,,,
931,Ictinia mississippiensis/plumbea,,0.0,2,,,,,,,,,,
932,Archilochus alexandri,,3.39,1,,,,,,,,,,
933,Regulus sp.,,0.0,2,,,,,,,,,,
934,Anser sp.,,0.0,1,,,,,,,,,,
935,Rallidae sp. (rail/crake sp.),,0.0,4,,,,,,,,,,
936,Aythya valisineria,,1202.0,3,,,,,,,,,,
937,Thraupis sp.,,0.0,5,,,,,,,,,,
938,Oceanitidae/Hydrobatidae sp. (dark-rumped),,0.0,2,,,,,,,,,,
939,Oceanitidae/Hydrobatidae sp. (white-rumped),,0.0,2,,,,,,,,,,
940,Toxostoma sp.,,0.0,2,,,,,,,,,,
941,Aquila chrysaetos/Haliaeetus leucocephalus,,0.0,1,,,,,,,,,,
942,Columbina passerina/talpacoti,,0.0,1,,,,,,,,,,
